Id da Organização,Deployment,API,Version,Data
29463393,Guru-B3-Lina-OPIN-Sucursal-v1.3.0,acceptance-and-branches-abroad,v1.3,09-09-2024
99999999,dummy,acceptance-and-branches-abroad,v1.3,03-10-2023
08279191,CardifSeguros-B3-LINA-OPIN-Auto-v1.3.0,auto,v1.3,06-12-2023
29463393,Guru-B3-Lina-OPIN-Auto-v1.3.0,auto,v1.3,09-09-2024
29980158,HDISeguros-B3-LINA-OPIN-Auto-v1.3.0,auto,v1.3,06-12-2023
30617319,Santanderauto-B3-LINA-OPIN-Auto-v1.3.0,auto,v1.3,06-12-2023
33055146,BS---Auto---1.3.0,auto,v1.3,24-11-2023
33164021,Tokio-Marine---Opin-Automovel,auto,v1.3,22-11-2023
33245762,Too-Seguros-Auth-Server,auto,v1.3,28-11-2023
34020354,Youse,auto,v1.3,02-12-2023
43368571,Neo-Auto-1.0,auto,v1.3,03-10-2024
44187990,-DarwinSeguros-B3-LINA-OPIN-Auto-v1.3.0,auto,v1.3,24-11-2023
45865343,Justos-V1,auto,v1.3,21-05-2024
45865343,Opin-Justos-Auto-v1.3.0,auto,v1.3,08-11-2023
49786401,Open-Insurance-Brasil-v1,auto,v1.3,05-12-2023
61074175,MAPFRE-OP-v1,auto,v1.3,28-11-2023
61100145,OpIn-Liberty-Auto-1.3.0,auto,v1.3,22-11-2023
61198164,Porto-Seguro---Auto---1.3.0,auto,v1.3,06-12-2023
61550141,OpIn-Liberty-Auto-1.3.0,auto,v1.3,22-11-2023
61573796,Nexus-for-Open-Insurance-as-of-April-2023,auto,v1.3,24-11-2023
96348677,CertificaçãoAPIAuto,auto,v1.3,06-12-2023
01582075,Rio-Grande-Seguradora-Auth-Server-v2.0.0,consents,v2.6.0,21-02-2025
01704513,Sulamerica-B3-Lina-Consents-v2.6.0,consents,v2.6.0,21-02-2025
03209092,capitalization-customer,consents,v2.6.0,21-02-2025
03502099,Chubb-B3-Lina-Consents-v2.6.0-,consents,v2.6.0,19-02-2025
03546261,BNPCardif-vida-B3-Lina-Consents-v2.6.0,consents,v2.6.0,25-02-2025
03730204,Consents-,consents,v2.6.0,02-12-2024
07746953,Luizaseg-B3-Lina-Consents-v2.6.0,consents,v2.6.0,25-02-2025
08279191,BNPCardif-gar-B3-Lina-Consents-v2.6.0,consents,v2.6.0,25-02-2025
11521976,Open-Insurance-Brazil-v1.0.0,consents,v2.6.0,02-12-2024
13615969,evidence-open-id,consents,v2.6.0,21-02-2025
15138043,Brasilcap,consents,v2.6.0,07-02-2025
18096627,HDIGlobal-B3-LINA-OPIN-Consents-v2.6.0,consents,v2.6.0,21-02-2025
19449767,BTG-Pactual-Vida-e-Prev-OPIN-v2.0.0,consents,v2.6.0,10-04-2025
21986074,Consents-v2.6,consents,v2.6.0,26-02-2025
29980158,HDI-Seguros-B3-Lina-OPIN-Consents-v2.6.0,consents,v2.6.0,21-02-2025
